challenge_id,user_id,team_id,id,ip,provided,type,date
9,20,10,10,70.103.170.146,JDM2011Vroom,correct,2026-04-11 15:55:17.141203
7,31,15,11,104.153.154.242,Route-10,correct,2026-04-11 15:55:47.594191
9,30,15,96,104.153.154.242,JDM2011Vroom,correct,2026-04-11 16:12:05.413976
9,2,1,122,104.153.154.242,JDM2011Vroom,correct,2026-04-11 16:16:11.439173
4,31,15,126,104.153.154.242,world-peace-forever,correct,2026-04-11 16:16:43.002642
9,33,16,201,104.153.154.242,JDM2011Vroom,correct,2026-04-11 16:22:52.336151
15,26,13,236,70.103.170.146,FLAG{packet_sniffing_finds_secrets},correct,2026-04-11 16:24:57.430047
18,23,11,281,104.153.154.242,flag{Bad-Practice-Kills},correct,2026-04-11 16:28:39.672272
9,18,9,287,104.153.154.242,JDM2011Vroom,correct,2026-04-11 16:29:28.299437
15,4,2,293,104.153.154.242,FLAG{packet_sniffing_finds_secrets},correct,2026-04-11 16:32:36.269385
9,23,11,305,104.153.154.242,JDM2011Vroom,correct,2026-04-11 16:35:46.562133
15,21,10,328,70.103.170.146,FLAG{packet_sniffing_finds_secrets},correct,2026-04-11 16:40:40.621814
1,27,13,392,70.103.170.146,flag{r3vErs5_eNg1n33r1nG_pYt40N},correct,2026-04-11 16:51:47.135107
16,23,11,393,104.153.154.242,FLAG{fruits_Ar3_g00D!},correct,2026-04-11 16:52:21.360767
6,24,12,411,104.153.154.242,R+E+D+A+C+T+E6D,correct,2026-04-11 16:55:31.037662
16,18,9,412,104.153.154.242,FLAG{fruits_Ar3_g00D!},correct,2026-04-11 16:55:39.900069
1,28,14,416,104.153.154.242,flag{r3vErs5_eNg1n33r1nG_pYt40N},correct,2026-04-11 16:56:34.987478
15,23,11,438,104.153.154.242,FLAG{packet_sniffing_finds_secrets},correct,2026-04-11 17:01:03.829028
6,26,13,450,70.103.170.146,R+E+D+A+C+T+E6D,correct,2026-04-11 17:03:12.603473
3,20,10,451,70.103.170.146,MYCHROMEBOOKISNOTONFIRE,correct,2026-04-11 17:03:19.327680
8,18,9,453,104.153.154.242,QR_Codes_are_Fun,correct,2026-04-11 17:03:29.307765
4,26,13,455,70.103.170.146,world-peace-forever,correct,2026-04-11 17:04:04.981379
1,24,12,458,104.153.154.242,flag{r3vErs5_eNg1n33r1nG_pYt40N},correct,2026-04-11 17:04:51.176954
1,35,17,502,104.153.154.242,flag{r3vErs5_eNg1n33r1nG_pYt40N},correct,2026-04-11 17:12:44.510717
5,27,13,527,70.103.170.146,<YB3R|RockSt4r,correct,2026-04-11 17:17:23.419251
5,24,12,543,104.153.154.242,<YB3R|RockSt4r,correct,2026-04-11 17:20:56.450434
9,26,13,557,70.103.170.146,JDM2011Vroom,correct,2026-04-11 17:22:26.128815
4,24,12,560,104.153.154.242,world-peace-forever,correct,2026-04-11 17:22:51.418343
1,13,6,582,104.153.154.242,flag{r3vErs5_eNg1n33r1nG_pYt40N},correct,2026-04-11 17:24:00.156433
16,26,13,614,70.103.170.146,FLAG{fruits_Ar3_g00D!},correct,2026-04-11 17:28:42.285767
18,6,3,682,104.153.154.242,flag{Bad-Practice-Kills},correct,2026-04-11 17:37:38.397228
19,32,16,683,104.153.154.242,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 17:37:39.336846
19,37,18,708,104.153.154.242,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 17:39:46.293573
19,5,2,737,104.153.154.242,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 17:42:23.472752
19,11,5,738,104.153.154.242,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 17:42:32.453240
3,43,22,742,104.153.154.242,MYchromebookISnotONfire,correct,2026-04-11 17:42:44.985052
19,25,12,758,104.153.154.242,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 17:44:49.647833
19,20,10,774,70.103.170.146,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 17:48:54.370884
7,43,22,783,104.153.154.242,Route-10,correct,2026-04-11 17:50:23.462345
19,30,15,798,104.153.154.242,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 17:52:37.441411
15,6,3,804,104.153.154.242,FLAG{packet_sniffing_finds_secrets},correct,2026-04-11 17:53:40.083351
19,2,1,808,104.153.154.242,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 17:54:18.824181
9,6,3,810,104.153.154.242,JDM2011Vroom,correct,2026-04-11 17:55:22.497224
19,18,9,812,104.153.154.242,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 17:55:30.762015
9,5,2,819,104.153.154.242,JDM2011Vroom,correct,2026-04-11 17:58:21.581838
7,21,10,825,70.103.170.146,Route-10,correct,2026-04-11 18:00:00.681563
5,21,10,826,70.103.170.146,<YB3R|RockSt4r,correct,2026-04-11 18:00:06.172748
15,31,15,835,104.153.154.242,FLAG{packet_sniffing_finds_secrets},correct,2026-04-11 18:01:16.789619
19,35,17,836,104.153.154.242,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 18:01:53.255038
4,20,10,842,70.103.170.146,world-peace-forever,correct,2026-04-11 18:02:38.568090
6,20,10,843,70.103.170.146,R+E+D+A+C+T+E6D,correct,2026-04-11 18:02:43.802477
3,36,18,844,104.153.154.242,MYchromebookISnotONfire,correct,2026-04-11 18:02:46.173516
2,21,10,846,70.103.170.146,ciso{7h3_0n3_p13c3_15_r34l},correct,2026-04-11 18:03:35.106695
19,12,6,847,104.153.154.242,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 18:03:37.123538
7,37,18,852,104.153.154.242,Route-10,correct,2026-04-11 18:04:49.232091
9,10,5,858,104.153.154.242,JDM2011Vroom,correct,2026-04-11 18:06:13.300246
19,26,13,863,70.103.170.146,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 18:07:05.394796
15,18,9,872,104.153.154.242,FLAG{packet_sniffing_finds_secrets},correct,2026-04-11 18:08:21.122099
1,6,3,881,104.153.154.242,flag{r3vErs5_eNg1n33r1nG_pYt40N},correct,2026-04-11 18:10:22.128750
9,43,22,882,104.153.154.242,JDM2011Vroom,correct,2026-04-11 18:10:42.776167
7,18,9,895,104.153.154.242,Route-10,correct,2026-04-11 18:12:40.862344
1,2,1,897,104.153.154.242,flag{r3vErs5_eNg1n33r1nG_pYt40N},correct,2026-04-11 18:14:36.253395
9,35,17,905,104.153.154.242,JDM2011Vroom,correct,2026-04-11 18:15:45.101109
2,22,11,906,104.153.154.242,ciso{7h3_0n3_p13c3_15_r34l},correct,2026-04-11 18:16:43.737619
15,2,1,913,104.153.154.242,FLAG{packet_sniffing_finds_secrets},correct,2026-04-11 18:17:39.727255
4,36,18,920,104.153.154.242,world-peace-forever,correct,2026-04-11 18:20:12.018494
3,18,9,925,104.153.154.242,MYchromebookISnotONfire,correct,2026-04-11 18:22:01.086885
1,31,15,930,104.153.154.242,flag{r3vErs5_eNg1n33r1nG_pYt40N},correct,2026-04-11 18:25:19.644526
6,37,18,942,104.153.154.242,R+E+D+A+C+T+E6D,correct,2026-04-11 18:28:13.610646
16,20,10,945,70.103.170.146,FLAG{fruits_Ar3_g00D!},correct,2026-04-11 18:28:24.389832
1,18,9,946,104.153.154.242,flag{r3vErs5_eNg1n33r1nG_pYt40N},correct,2026-04-11 18:28:40.303436
18,21,10,948,70.103.170.146,flag{Bad-Practice-Kills},correct,2026-04-11 18:28:51.990141
9,25,12,952,104.153.154.242,JDM2011Vroom,correct,2026-04-11 18:29:30.992528
16,5,2,961,104.153.154.242,Flag{fruits_Ar3_g00D!},correct,2026-04-11 18:30:47.678630
6,35,17,981,104.153.154.242,R+E+D+A+C+T+E6D,correct,2026-04-11 18:34:31.497226
12,31,15,988,104.153.154.242,flag{This_is-EPOCH!},correct,2026-04-11 18:35:09.643643
15,25,12,1018,104.153.154.242,FLAG{packet_sniffing_finds_secrets},correct,2026-04-11 18:37:37.052484
8,21,10,1024,70.103.170.146,QR_Codes_are_Fun,correct,2026-04-11 18:38:15.329310
19,6,3,1041,104.153.154.242,SSH-2.0-OpenSSH_10.0p2 Debian-7,correct,2026-04-11 18:39:13.862452
10,26,13,1062,70.103.170.146,I Love S.C.,correct,2026-04-11 18:41:42.740485
16,24,12,1103,104.153.154.242,FLAG{fruits_Ar3_g00d!},correct,2026-04-11 18:48:12.821203
5,6,3,1108,104.153.154.242,<YB3R|RockSt4r,correct,2026-04-11 18:49:01.689954
2,26,13,1126,70.103.170.146,CISO{7h3_0n3_p13c3_15_r34l},correct,2026-04-11 18:52:54.934125
16,6,3,1133,104.153.154.242,FLAG{fruits_Ar3_g00D!},correct,2026-04-11 18:53:32.050488
1,20,10,1203,70.103.170.146,flag{r3vErs5_eNg1n33r1nG_pYt40N},correct,2026-04-11 18:58:12.251440
